date_range,state,lake,chance_cyanoHAB,lat,lon,COMID,date_start,date_end,label
Aug-11-2024 to Aug-17-2024,ME,Pleasant Lake,1.23,46.02266,-68.1624,759,2024-08-11,2024-08-17,Pleasant Lake </br> 1.23%
Aug-11-2024 to Aug-17-2024,ME,Jackson Brook Lake,4.55,45.53332,-67.7441,1637,2024-08-11,2024-08-17,Jackson Brook Lake </br> 4.55%
Aug-11-2024 to Aug-17-2024,ME,Wytopitlock Lake,2.08,45.79854,-68.1596,2311,2024-08-11,2024-08-17,Wytopitlock Lake </br> 2.08%
Aug-11-2024 to Aug-17-2024,CO,Boyd Lake,3.47,40.43393,-105.033,11646,2024-08-11,2024-08-17,Boyd Lake </br> 3.47%
Aug-11-2024 to Aug-17-2024,CO,Lake Loveland,3.11,40.412350000000004,-105.087,11682,2024-08-11,2024-08-17,Lake Loveland </br> 3.11%
Aug-11-2024 to Aug-17-2024,CO,Carter Lake Reservoir,1.62,40.33504,-105.218,11816,2024-08-11,2024-08-17,Carter Lake Reservoir </br> 1.62%
Aug-11-2024 to Aug-17-2024,FL,Rodgers River Bay,1.6,25.56711,-81.0981,84918,2024-08-11,2024-08-17,Rodgers River Bay </br> 1.6%
Aug-11-2024 to Aug-17-2024,FL,West Lake,92.04,25.20776,-80.824700000000007,86672,2024-08-11,2024-08-17,West Lake </br> 92.04%
Aug-11-2024 to Aug-17-2024,FL,Cuthbert Lake,98.87,25.20805,-80.7758,86678,2024-08-11,2024-08-17,Cuthbert Lake </br> 98.87%
Aug-11-2024 to Aug-17-2024,FL,Seven Palm Lake,86.67,25.1935,-80.7295,86706,2024-08-11,2024-08-17,Seven Palm Lake </br> 86.67%
Aug-11-2024 to Aug-17-2024,FL,Monroe Lake,77.3,25.17788,-80.7405,86758,2024-08-11,2024-08-17,Monroe Lake </br> 77.3%
Aug-11-2024 to Aug-17-2024,FL,Bear Lake,85.91,25.16884,-80.9597,86782,2024-08-11,2024-08-17,Bear Lake </br> 85.91%
Aug-11-2024 to Aug-17-2024,FL,Coot Bay Pond,23.14,25.19438,-80.9166,89704,2024-08-11,2024-08-17,Coot Bay Pond </br> 23.14%
Aug-11-2024 to Aug-17-2024,FL,Lake Ingraham,27.04,25.15963,-81.1121,91346,2024-08-11,2024-08-17,Lake Ingraham </br> 27.04%
Aug-11-2024 to Aug-17-2024,CO,Marston Lake,1.64,39.62961,-105.068,187905,2024-08-11,2024-08-17,Marston Lake </br> 1.64%
Aug-11-2024 to Aug-17-2024,CO,Chatfield Lake,1.84,39.54464,-105.067,188031,2024-08-11,2024-08-17,Chatfield Lake </br> 1.84%
Aug-11-2024 to Aug-17-2024,TX,Sal del Ray,1.56,26.5372,-98.0564,201345,2024-08-11,2024-08-17,Sal del Ray </br> 1.56%
Aug-11-2024 to Aug-17-2024,TX,La Sal Vieja,1.88,26.53074,-97.8765,202621,2024-08-11,2024-08-17,La Sal Vieja </br> 1.88%
Aug-11-2024 to Aug-17-2024,TX,Unit Number Two,99.95,26.4129,-97.9464,204341,2024-08-11,2024-08-17,Unit Number Two </br> 99.95%
Aug-11-2024 to Aug-17-2024,TX,Laguna Atascosa,18.36,26.23655,-97.3888,204781,2024-08-11,2024-08-17,Laguna Atascosa </br> 18.36%
Aug-11-2024 to Aug-17-2024,TX,Reservoir Number One,99.56,26.0565,-97.7273,205377,2024-08-11,2024-08-17,Reservoir Number One </br> 99.56%
Aug-11-2024 to Aug-17-2024,TX,Resaca de La Palma Reservoir,99.97,25.97196,-97.5511,207611,2024-08-11,2024-08-17,Resaca de La Palma Reservoir </br> 99.97%
Aug-11-2024 to Aug-17-2024,CO,Jackson Reservoir,83.79,40.39189,-104.074,224233,2024-08-11,2024-08-17,Jackson Reservoir </br> 83.79%
Aug-11-2024 to Aug-17-2024,CO,Riverside Reservoir,50.78,40.33816,-104.263,224311,2024-08-11,2024-08-17,Riverside Reservoir </br> 50.78%
Aug-11-2024 to Aug-17-2024,CO,Lower Latham Reservoir,80.41,40.34583,-104.639,224361,2024-08-11,2024-08-17,Lower Latham Reservoir </br> 80.41%
Aug-11-2024 to Aug-17-2024,CO,Empire Reservoir,76.92,40.2678,-104.163,224443,2024-08-11,2024-08-17,Empire Reservoir </br> 76.92%
Aug-11-2024 to Aug-17-2024,CO,Milton Reservoir,44.63,40.2264,-104.642,224573,2024-08-11,2024-08-17,Milton Reservoir </br> 44.63%
Aug-11-2024 to Aug-17-2024,CO,Standley Lake,3.63,39.86374,-105.124,228235,2024-08-11,2024-08-17,Standley Lake </br> 3.63%
Aug-11-2024 to Aug-17-2024,CO,Barr Lake,29.09,39.94319,-104.764,228919,2024-08-11,2024-08-17,Barr Lake </br> 29.09%
Aug-11-2024 to Aug-17-2024,CO,Cherry Creek Lake,11.44,39.64032,-104.855,229217,2024-08-11,2024-08-17,Cherry Creek Lake </br> 11.44%
Aug-11-2024 to Aug-17-2024,OK,Lake Hefner,11.2,35.56682,-97.5951,253350,2024-08-11,2024-08-17,Lake Hefner </br> 11.2%
Aug-11-2024 to Aug-17-2024,MI,Round Lake,2.25,46.15092,-86.7447,271501,2024-08-11,2024-08-17,Round Lake </br> 2.25%
Aug-11-2024 to Aug-17-2024,OK,Shell Lake,64.18,36.19126,-96.1797,368347,2024-08-11,2024-08-17,Shell Lake </br> 64.18%
Aug-11-2024 to Aug-17-2024,OK,Webbers Falls Reservoir,1.92,35.60737,-95.221,381408,2024-08-11,2024-08-17,Webbers Falls Reservoir </br> 1.92%
Aug-11-2024 to Aug-17-2024,OK,Canton Lake,79.64,36.12569,-98.6147,389774,2024-08-11,2024-08-17,Canton Lake </br> 79.64%
Aug-11-2024 to Aug-17-2024,OK,Tenkiller Lake,1.56,35.7169,-94.9482,399680,2024-08-11,2024-08-17,Tenkiller Lake </br> 1.56%
Aug-11-2024 to Aug-17-2024,OK,Tenkiller Ferry Lake,2.09,35.63059,-95.0342,402142,2024-08-11,2024-08-17,Tenkiller Ferry Lake </br> 2.09%
Aug-11-2024 to Aug-17-2024,OK,Lake Murray,2.68,34.07157,-97.0757,423160,2024-08-11,2024-08-17,Lake Murray </br> 2.68%
Aug-11-2024 to Aug-17-2024,OK,Stanley Draper Lake,5.59,35.35016,-97.356,481582,2024-08-11,2024-08-17,Stanley Draper Lake </br> 5.59%
Aug-11-2024 to Aug-17-2024,OK,Lake Thunderbird,65.04,35.23374,-97.2577,481656,2024-08-11,2024-08-17,Lake Thunderbird </br> 65.04%
Aug-11-2024 to Aug-17-2024,OK,Lake McMurtry,17.55,36.18245,-97.1858,491560,2024-08-11,2024-08-17,Lake McMurtry </br> 17.55%
Aug-11-2024 to Aug-17-2024,OK,Lake Carl Blackwell,60.72,36.13618,-97.228,491604,2024-08-11,2024-08-17,Lake Carl Blackwell </br> 60.72%
Aug-11-2024 to Aug-17-2024,OK,Lake McAlester,6.19,35.03047,-95.8296,510415,2024-08-11,2024-08-17,Lake McAlester </br> 6.19%
Aug-11-2024 to Aug-17-2024,OK,S Lake Eufaula,16.49,34.95741,-95.6102,513979,2024-08-11,2024-08-17,S Lake Eufaula </br> 16.49%
Aug-11-2024 to Aug-17-2024,OK,Dripping Springs Lake,2.21,35.56111,-96.1173,534887,2024-08-11,2024-08-17,Dripping Springs Lake </br> 2.21%
Aug-11-2024 to Aug-17-2024,OK,South Lake,1.85,34.0705,-95.4183,592596,2024-08-11,2024-08-17,South Lake </br> 1.85%
Aug-11-2024 to Aug-17-2024,OK,Pine Creek Reservoir,50.2,34.15248,-95.103,617546,2024-08-11,2024-08-17,Pine Creek Reservoir </br> 50.2%
Aug-11-2024 to Aug-17-2024,OK,Broken Bow Lake,2.13,34.21277,-94.6843,630011,2024-08-11,2024-08-17,Broken Bow Lake </br> 2.13%
Aug-11-2024 to Aug-17-2024,OK,Lake Ellsworth,51.79,34.82354,-98.3534,672210,2024-08-11,2024-08-17,Lake Ellsworth </br> 51.79%
Aug-11-2024 to Aug-17-2024,OK,Lake Lawtonka,60.28,34.75722,-98.5078,672260,2024-08-11,2024-08-17,Lake Lawtonka </br> 60.28%
Aug-11-2024 to Aug-17-2024,OK,Fort Cobb Reservoir,68.32,35.19674,-98.483,681831,2024-08-11,2024-08-17,Fort Cobb Reservoir </br> 68.32%
Aug-11-2024 to Aug-17-2024,ME,Long Lake,4.12,46.625,-69.3767,717696,2024-08-11,2024-08-17,Long Lake </br> 4.12%
Aug-11-2024 to Aug-17-2024,ME,Clear Lake,2.85,46.52027,-69.1287,717824,2024-08-11,2024-08-17,Clear Lake </br> 2.85%
Aug-11-2024 to Aug-17-2024,ME,Heron-Churchill Lakes,1.36,46.37289,-69.3412,719480,2024-08-11,2024-08-17,Heron-Churchill Lakes </br> 1.36%
Aug-11-2024 to Aug-17-2024,ME,Pleasant Lake,1.86,46.47316,-69.1799,719490,2024-08-11,2024-08-17,Pleasant Lake </br> 1.86%
Aug-11-2024 to Aug-17-2024,ME,Spider Lake,1.64,46.44826,-69.2087,719500,2024-08-11,2024-08-17,Spider Lake </br> 1.64%
Aug-11-2024 to Aug-17-2024,ME,Haymock Lake,1,46.30324,-69.1849,719644,2024-08-11,2024-08-17,Haymock Lake </br> 1%
Aug-11-2024 to Aug-17-2024,ME,Indian Pond,0.84,46.25543,-69.2934,719684,2024-08-11,2024-08-17,Indian Pond </br> 0.84%
Aug-11-2024 to Aug-17-2024,ME,Long Lake,1.41,47.20638,-68.241,723898,2024-08-11,2024-08-17,Long Lake </br> 1.41%
Aug-11-2024 to Aug-17-2024,ME,Mud Lake,0.94,47.15382,-68.292,723936,2024-08-11,2024-08-17,Mud Lake </br> 0.94%
Aug-11-2024 to Aug-17-2024,ME,Square Lake,1.41,47.06451,-68.4067,723938,2024-08-11,2024-08-17,Square Lake </br> 1.41%
Aug-11-2024 to Aug-17-2024,ME,Fish River Lake,3.44,46.82865,-68.7736,725058,2024-08-11,2024-08-17,Fish River Lake </br> 3.44%
Aug-11-2024 to Aug-17-2024,ME,Portage Lake,2.94,46.78602,-68.5091,725074,2024-08-11,2024-08-17,Portage Lake </br> 2.94%
Aug-11-2024 to Aug-17-2024,KS,Perry Lake,10.51,39.18347,-95.4522,746373,2024-08-11,2024-08-17,Perry Lake </br> 10.51%
Aug-11-2024 to Aug-17-2024,ME,Madawaska Lake,11.01,47.02536,-68.2131,802433,2024-08-11,2024-08-17,Madawaska Lake </br> 11.01%
Aug-11-2024 to Aug-17-2024,ME,Squapan Lake,3.17,46.54401,-68.2436,803413,2024-08-11,2024-08-17,Squapan Lake </br> 3.17%
Aug-11-2024 to Aug-17-2024,ME,Millinocket Lake,1.1,46.29874,-68.8853,806283,2024-08-11,2024-08-17,Millinocket Lake </br> 1.1%
Aug-11-2024 to Aug-17-2024,ME,Umcolcus Lake,2.26,46.28783,-68.4356,806301,2024-08-11,2024-08-17,Umcolcus Lake </br> 2.26%
Aug-11-2024 to Aug-17-2024,ME,Millimagassett Lake,0.53,46.28425,-68.7835,806311,2024-08-11,2024-08-17,Millimagassett Lake </br> 0.53%
Aug-11-2024 to Aug-17-2024,ME,Meduxnekeag Lake,1.63,46.09414,-68.0295,817877,2024-08-11,2024-08-17,Meduxnekeag Lake </br> 1.63%
Aug-11-2024 to Aug-17-2024,OK,Lake Yahola,16.37,36.22022,-95.9341,847048,2024-08-11,2024-08-17,Lake Yahola </br> 16.37%
Aug-11-2024 to Aug-17-2024,CO,Holbrook Reservoir,40.38,38.06316,-103.61,914071,2024-08-11,2024-08-17,Holbrook Reservoir </br> 40.38%
Aug-11-2024 to Aug-17-2024,CO,Turquoise Lake,3.19,39.26924,-106.383,916247,2024-08-11,2024-08-17,Turquoise Lake </br> 3.19%
Aug-11-2024 to Aug-17-2024,CO,Twin Lakes,1.74,39.08425,-106.333,916361,2024-08-11,2024-08-17,Twin Lakes </br> 1.74%
Aug-11-2024 to Aug-17-2024,CO,Twin Lakes Reservoir,2.12,39.07928,-106.365,916363,2024-08-11,2024-08-17,Twin Lakes Reservoir </br> 2.12%
Aug-11-2024 to Aug-17-2024,CO,Trinidad Lake,1.86,37.13644,-104.576,936750,2024-08-11,2024-08-17,Trinidad Lake </br> 1.86%
Aug-11-2024 to Aug-17-2024,CO,Lake Henry,81.1,38.26428,-103.709,975120,2024-08-11,2024-08-17,Lake Henry </br> 81.1%
