date_range,state,lake,chance_cyanoHAB,lat,lon,COMID,date_start,date_end,label
Jul-07-2024 to Jul-13-2024,ME,Pleasant Lake,0.45,46.02266,-68.1624,759,2024-07-07,2024-07-13,Pleasant Lake </br> 0.45%
Jul-07-2024 to Jul-13-2024,ME,Jackson Brook Lake,2.98,45.53332,-67.7441,1637,2024-07-07,2024-07-13,Jackson Brook Lake </br> 2.98%
Jul-07-2024 to Jul-13-2024,ME,Wytopitlock Lake,0.81,45.79854,-68.1596,2311,2024-07-07,2024-07-13,Wytopitlock Lake </br> 0.81%
Jul-07-2024 to Jul-13-2024,CO,Boyd Lake,0.8,40.43393,-105.033,11646,2024-07-07,2024-07-13,Boyd Lake </br> 0.8%
Jul-07-2024 to Jul-13-2024,CO,Lake Loveland,1.44,40.412350000000004,-105.087,11682,2024-07-07,2024-07-13,Lake Loveland </br> 1.44%
Jul-07-2024 to Jul-13-2024,CO,Carter Lake Reservoir,0.86,40.33504,-105.218,11816,2024-07-07,2024-07-13,Carter Lake Reservoir </br> 0.86%
Jul-07-2024 to Jul-13-2024,FL,Rodgers River Bay,0.86,25.56711,-81.0981,84918,2024-07-07,2024-07-13,Rodgers River Bay </br> 0.86%
Jul-07-2024 to Jul-13-2024,FL,West Lake,86.12,25.20776,-80.824700000000007,86672,2024-07-07,2024-07-13,West Lake </br> 86.12%
Jul-07-2024 to Jul-13-2024,FL,Cuthbert Lake,98.04,25.20805,-80.7758,86678,2024-07-07,2024-07-13,Cuthbert Lake </br> 98.04%
Jul-07-2024 to Jul-13-2024,FL,Seven Palm Lake,79.08,25.1935,-80.7295,86706,2024-07-07,2024-07-13,Seven Palm Lake </br> 79.08%
Jul-07-2024 to Jul-13-2024,FL,Monroe Lake,78.98,25.17788,-80.7405,86758,2024-07-07,2024-07-13,Monroe Lake </br> 78.98%
Jul-07-2024 to Jul-13-2024,FL,Bear Lake,74.44,25.16884,-80.9597,86782,2024-07-07,2024-07-13,Bear Lake </br> 74.44%
Jul-07-2024 to Jul-13-2024,FL,Coot Bay Pond,24.36,25.19438,-80.9166,89704,2024-07-07,2024-07-13,Coot Bay Pond </br> 24.36%
Jul-07-2024 to Jul-13-2024,FL,Lake Ingraham,20.57,25.15963,-81.1121,91346,2024-07-07,2024-07-13,Lake Ingraham </br> 20.57%
Jul-07-2024 to Jul-13-2024,CO,Marston Lake,0.99,39.62961,-105.068,187905,2024-07-07,2024-07-13,Marston Lake </br> 0.99%
Jul-07-2024 to Jul-13-2024,CO,Chatfield Lake,1.14,39.54464,-105.067,188031,2024-07-07,2024-07-13,Chatfield Lake </br> 1.14%
Jul-07-2024 to Jul-13-2024,TX,Sal del Ray,0.99,26.5372,-98.0564,201345,2024-07-07,2024-07-13,Sal del Ray </br> 0.99%
Jul-07-2024 to Jul-13-2024,TX,La Sal Vieja,1.13,26.53074,-97.8765,202621,2024-07-07,2024-07-13,La Sal Vieja </br> 1.13%
Jul-07-2024 to Jul-13-2024,TX,Unit Number Two,99.87,26.4129,-97.9464,204341,2024-07-07,2024-07-13,Unit Number Two </br> 99.87%
Jul-07-2024 to Jul-13-2024,TX,Laguna Atascosa,13.78,26.23655,-97.3888,204781,2024-07-07,2024-07-13,Laguna Atascosa </br> 13.78%
Jul-07-2024 to Jul-13-2024,TX,Reservoir Number One,99.2,26.0565,-97.7273,205377,2024-07-07,2024-07-13,Reservoir Number One </br> 99.2%
Jul-07-2024 to Jul-13-2024,TX,Resaca de La Palma Reservoir,99.96,25.97196,-97.5511,207611,2024-07-07,2024-07-13,Resaca de La Palma Reservoir </br> 99.96%
Jul-07-2024 to Jul-13-2024,CO,Jackson Reservoir,73.47,40.39189,-104.074,224233,2024-07-07,2024-07-13,Jackson Reservoir </br> 73.47%
Jul-07-2024 to Jul-13-2024,CO,Riverside Reservoir,39.63,40.33816,-104.263,224311,2024-07-07,2024-07-13,Riverside Reservoir </br> 39.63%
Jul-07-2024 to Jul-13-2024,CO,Lower Latham Reservoir,71.03,40.34583,-104.639,224361,2024-07-07,2024-07-13,Lower Latham Reservoir </br> 71.03%
Jul-07-2024 to Jul-13-2024,CO,Empire Reservoir,67.8,40.2678,-104.163,224443,2024-07-07,2024-07-13,Empire Reservoir </br> 67.8%
Jul-07-2024 to Jul-13-2024,CO,Milton Reservoir,29.58,40.2264,-104.642,224573,2024-07-07,2024-07-13,Milton Reservoir </br> 29.58%
Jul-07-2024 to Jul-13-2024,CO,Standley Lake,2.4,39.86374,-105.124,228235,2024-07-07,2024-07-13,Standley Lake </br> 2.4%
Jul-07-2024 to Jul-13-2024,CO,Barr Lake,22.86,39.94319,-104.764,228919,2024-07-07,2024-07-13,Barr Lake </br> 22.86%
Jul-07-2024 to Jul-13-2024,CO,Cherry Creek Lake,4.04,39.64032,-104.855,229217,2024-07-07,2024-07-13,Cherry Creek Lake </br> 4.04%
Jul-07-2024 to Jul-13-2024,OK,Lake Hefner,10.45,35.56682,-97.5951,253350,2024-07-07,2024-07-13,Lake Hefner </br> 10.45%
Jul-07-2024 to Jul-13-2024,MI,Round Lake,1.02,46.15092,-86.7447,271501,2024-07-07,2024-07-13,Round Lake </br> 1.02%
Jul-07-2024 to Jul-13-2024,OK,Shell Lake,51.44,36.19126,-96.1797,368347,2024-07-07,2024-07-13,Shell Lake </br> 51.44%
Jul-07-2024 to Jul-13-2024,OK,Webbers Falls Reservoir,1.15,35.60737,-95.221,381408,2024-07-07,2024-07-13,Webbers Falls Reservoir </br> 1.15%
Jul-07-2024 to Jul-13-2024,OK,Canton Lake,64.31,36.12569,-98.6147,389774,2024-07-07,2024-07-13,Canton Lake </br> 64.31%
Jul-07-2024 to Jul-13-2024,OK,Tenkiller Lake,0.81,35.7169,-94.9482,399680,2024-07-07,2024-07-13,Tenkiller Lake </br> 0.81%
Jul-07-2024 to Jul-13-2024,OK,Tenkiller Ferry Lake,1.06,35.63059,-95.0342,402142,2024-07-07,2024-07-13,Tenkiller Ferry Lake </br> 1.06%
Jul-07-2024 to Jul-13-2024,OK,Lake Murray,1.57,34.07157,-97.0757,423160,2024-07-07,2024-07-13,Lake Murray </br> 1.57%
Jul-07-2024 to Jul-13-2024,OK,Stanley Draper Lake,2.87,35.35016,-97.356,481582,2024-07-07,2024-07-13,Stanley Draper Lake </br> 2.87%
Jul-07-2024 to Jul-13-2024,OK,Lake Thunderbird,52.61,35.23374,-97.2577,481656,2024-07-07,2024-07-13,Lake Thunderbird </br> 52.61%
Jul-07-2024 to Jul-13-2024,OK,Lake McMurtry,10.83,36.18245,-97.1858,491560,2024-07-07,2024-07-13,Lake McMurtry </br> 10.83%
Jul-07-2024 to Jul-13-2024,OK,Lake Carl Blackwell,48.84,36.13618,-97.228,491604,2024-07-07,2024-07-13,Lake Carl Blackwell </br> 48.84%
Jul-07-2024 to Jul-13-2024,OK,Lake McAlester,7.57,35.03047,-95.8296,510415,2024-07-07,2024-07-13,Lake McAlester </br> 7.57%
Jul-07-2024 to Jul-13-2024,OK,S Lake Eufaula,7.88,34.95741,-95.6102,513979,2024-07-07,2024-07-13,S Lake Eufaula </br> 7.88%
Jul-07-2024 to Jul-13-2024,OK,Dripping Springs Lake,1.29,35.56111,-96.1173,534887,2024-07-07,2024-07-13,Dripping Springs Lake </br> 1.29%
Jul-07-2024 to Jul-13-2024,OK,South Lake,1,34.0705,-95.4183,592596,2024-07-07,2024-07-13,South Lake </br> 1%
Jul-07-2024 to Jul-13-2024,OK,Pine Creek Reservoir,36.89,34.15248,-95.103,617546,2024-07-07,2024-07-13,Pine Creek Reservoir </br> 36.89%
Jul-07-2024 to Jul-13-2024,OK,Broken Bow Lake,1.21,34.21277,-94.6843,630011,2024-07-07,2024-07-13,Broken Bow Lake </br> 1.21%
Jul-07-2024 to Jul-13-2024,OK,Lake Ellsworth,31.18,34.82354,-98.3534,672210,2024-07-07,2024-07-13,Lake Ellsworth </br> 31.18%
Jul-07-2024 to Jul-13-2024,OK,Lake Lawtonka,38.33,34.75722,-98.5078,672260,2024-07-07,2024-07-13,Lake Lawtonka </br> 38.33%
Jul-07-2024 to Jul-13-2024,OK,Fort Cobb Reservoir,53.99,35.19674,-98.483,681831,2024-07-07,2024-07-13,Fort Cobb Reservoir </br> 53.99%
Jul-07-2024 to Jul-13-2024,ME,Long Lake,2.64,46.625,-69.3767,717696,2024-07-07,2024-07-13,Long Lake </br> 2.64%
Jul-07-2024 to Jul-13-2024,ME,Clear Lake,1.66,46.52027,-69.1287,717824,2024-07-07,2024-07-13,Clear Lake </br> 1.66%
Jul-07-2024 to Jul-13-2024,ME,Heron-Churchill Lakes,0.62,46.37289,-69.3412,719480,2024-07-07,2024-07-13,Heron-Churchill Lakes </br> 0.62%
Jul-07-2024 to Jul-13-2024,ME,Pleasant Lake,1,46.47316,-69.1799,719490,2024-07-07,2024-07-13,Pleasant Lake </br> 1%
Jul-07-2024 to Jul-13-2024,ME,Spider Lake,0.85,46.44826,-69.2087,719500,2024-07-07,2024-07-13,Spider Lake </br> 0.85%
Jul-07-2024 to Jul-13-2024,ME,Haymock Lake,0.46,46.30324,-69.1849,719644,2024-07-07,2024-07-13,Haymock Lake </br> 0.46%
Jul-07-2024 to Jul-13-2024,ME,Indian Pond,0.34,46.25543,-69.2934,719684,2024-07-07,2024-07-13,Indian Pond </br> 0.34%
Jul-07-2024 to Jul-13-2024,ME,Long Lake,0.71,47.20638,-68.241,723898,2024-07-07,2024-07-13,Long Lake </br> 0.71%
Jul-07-2024 to Jul-13-2024,ME,Mud Lake,0.46,47.15382,-68.292,723936,2024-07-07,2024-07-13,Mud Lake </br> 0.46%
