date_range,state,lake,chance_cyanoHAB,lat,lon,COMID,date_start,date_end,label
Jul-28-2024 to Aug-03-2024,ME,Pleasant Lake,0.96,46.02266,-68.1624,759,2024-07-28,2024-08-03,Pleasant Lake </br> 0.96%
Jul-28-2024 to Aug-03-2024,ME,Jackson Brook Lake,4.15,45.53332,-67.7441,1637,2024-07-28,2024-08-03,Jackson Brook Lake </br> 4.15%
Jul-28-2024 to Aug-03-2024,ME,Wytopitlock Lake,1.73,45.79854,-68.1596,2311,2024-07-28,2024-08-03,Wytopitlock Lake </br> 1.73%
Jul-28-2024 to Aug-03-2024,CO,Boyd Lake,3.25,40.43393,-105.033,11646,2024-07-28,2024-08-03,Boyd Lake </br> 3.25%
Jul-28-2024 to Aug-03-2024,CO,Lake Loveland,2.81,40.412350000000004,-105.087,11682,2024-07-28,2024-08-03,Lake Loveland </br> 2.81%
Jul-28-2024 to Aug-03-2024,CO,Carter Lake Reservoir,1.44,40.33504,-105.218,11816,2024-07-28,2024-08-03,Carter Lake Reservoir </br> 1.44%
Jul-28-2024 to Aug-03-2024,FL,Rodgers River Bay,1.26,25.56711,-81.0981,84918,2024-07-28,2024-08-03,Rodgers River Bay </br> 1.26%
Jul-28-2024 to Aug-03-2024,FL,West Lake,92.32,25.20776,-80.824700000000007,86672,2024-07-28,2024-08-03,West Lake </br> 92.32%
Jul-28-2024 to Aug-03-2024,FL,Cuthbert Lake,98.85,25.20805,-80.7758,86678,2024-07-28,2024-08-03,Cuthbert Lake </br> 98.85%
Jul-28-2024 to Aug-03-2024,FL,Seven Palm Lake,85.93,25.1935,-80.7295,86706,2024-07-28,2024-08-03,Seven Palm Lake </br> 85.93%
Jul-28-2024 to Aug-03-2024,FL,Monroe Lake,76.62,25.17788,-80.7405,86758,2024-07-28,2024-08-03,Monroe Lake </br> 76.62%
Jul-28-2024 to Aug-03-2024,FL,Bear Lake,86.06,25.16884,-80.9597,86782,2024-07-28,2024-08-03,Bear Lake </br> 86.06%
Jul-28-2024 to Aug-03-2024,FL,Coot Bay Pond,24.45,25.19438,-80.9166,89704,2024-07-28,2024-08-03,Coot Bay Pond </br> 24.45%
Jul-28-2024 to Aug-03-2024,FL,Lake Ingraham,26.98,25.15963,-81.1121,91346,2024-07-28,2024-08-03,Lake Ingraham </br> 26.98%
Jul-28-2024 to Aug-03-2024,CO,Marston Lake,1.45,39.62961,-105.068,187905,2024-07-28,2024-08-03,Marston Lake </br> 1.45%
