date_range,state,lake,chance_cyanoHAB,lat,lon,COMID,date_start,date_end,label
Nov-03-2024 to Nov-09-2024,ME,Pleasant Lake,0.15,46.02266,-68.1624,759,2024-11-03,2024-11-09,Pleasant Lake </br> 0.15%
Nov-03-2024 to Nov-09-2024,ME,Jackson Brook Lake,0.76,45.53332,-67.7441,1637,2024-11-03,2024-11-09,Jackson Brook Lake </br> 0.76%
Nov-03-2024 to Nov-09-2024,ME,Wytopitlock Lake,0.29,45.79854,-68.1596,2311,2024-11-03,2024-11-09,Wytopitlock Lake </br> 0.29%
Nov-03-2024 to Nov-09-2024,CO,Boyd Lake,0.44,40.43393,-105.033,11646,2024-11-03,2024-11-09,Boyd Lake </br> 0.44%
Nov-03-2024 to Nov-09-2024,CO,Lake Loveland,0.4,40.412350000000004,-105.087,11682,2024-11-03,2024-11-09,Lake Loveland </br> 0.4%
Nov-03-2024 to Nov-09-2024,CO,Carter Lake Reservoir,0.28,40.33504,-105.218,11816,2024-11-03,2024-11-09,Carter Lake Reservoir </br> 0.28%
Nov-03-2024 to Nov-09-2024,FL,Rodgers River Bay,0.43,25.56711,-81.0981,84918,2024-11-03,2024-11-09,Rodgers River Bay </br> 0.43%
Nov-03-2024 to Nov-09-2024,FL,West Lake,70.85,25.20776,-80.824700000000007,86672,2024-11-03,2024-11-09,West Lake </br> 70.85%
Nov-03-2024 to Nov-09-2024,FL,Cuthbert Lake,94.6,25.20805,-80.7758,86678,2024-11-03,2024-11-09,Cuthbert Lake </br> 94.6%
Nov-03-2024 to Nov-09-2024,FL,Seven Palm Lake,56.01,25.1935,-80.7295,86706,2024-11-03,2024-11-09,Seven Palm Lake </br> 56.01%
Nov-03-2024 to Nov-09-2024,FL,Monroe Lake,40.84,25.17788,-80.7405,86758,2024-11-03,2024-11-09,Monroe Lake </br> 40.84%
Nov-03-2024 to Nov-09-2024,FL,Bear Lake,56.84,25.16884,-80.9597,86782,2024-11-03,2024-11-09,Bear Lake </br> 56.84%
Nov-03-2024 to Nov-09-2024,FL,Coot Bay Pond,6.34,25.19438,-80.9166,89704,2024-11-03,2024-11-09,Coot Bay Pond </br> 6.34%
Nov-03-2024 to Nov-09-2024,FL,Lake Ingraham,6.97,25.15963,-81.1121,91346,2024-11-03,2024-11-09,Lake Ingraham </br> 6.97%
Nov-03-2024 to Nov-09-2024,CO,Marston Lake,0.33,39.62961,-105.068,187905,2024-11-03,2024-11-09,Marston Lake </br> 0.33%
Nov-03-2024 to Nov-09-2024,CO,Chatfield Lake,0.36,39.54464,-105.067,188031,2024-11-03,2024-11-09,Chatfield Lake </br> 0.36%
Nov-03-2024 to Nov-09-2024,TX,Sal del Ray,0.28,26.5372,-98.0564,201345,2024-11-03,2024-11-09,Sal del Ray </br> 0.28%
Nov-03-2024 to Nov-09-2024,TX,La Sal Vieja,0.31,26.53074,-97.8765,202621,2024-11-03,2024-11-09,La Sal Vieja </br> 0.31%
Nov-03-2024 to Nov-09-2024,TX,Unit Number Two,99.68,26.4129,-97.9464,204341,2024-11-03,2024-11-09,Unit Number Two </br> 99.68%
Nov-03-2024 to Nov-09-2024,TX,Laguna Atascosa,3.45,26.23655,-97.3888,204781,2024-11-03,2024-11-09,Laguna Atascosa </br> 3.45%
Nov-03-2024 to Nov-09-2024,TX,Reservoir Number One,97.3,26.0565,-97.7273,205377,2024-11-03,2024-11-09,Reservoir Number One </br> 97.3%
Nov-03-2024 to Nov-09-2024,TX,Resaca de La Palma Reservoir,99.83,25.97196,-97.5511,207611,2024-11-03,2024-11-09,Resaca de La Palma Reservoir </br> 99.83%
Nov-03-2024 to Nov-09-2024,CO,Jackson Reservoir,38.95,40.39189,-104.074,224233,2024-11-03,2024-11-09,Jackson Reservoir </br> 38.95%
Nov-03-2024 to Nov-09-2024,CO,Riverside Reservoir,10.74,40.33816,-104.263,224311,2024-11-03,2024-11-09,Riverside Reservoir </br> 10.74%
Nov-03-2024 to Nov-09-2024,CO,Lower Latham Reservoir,32.27,40.34583,-104.639,224361,2024-11-03,2024-11-09,Lower Latham Reservoir </br> 32.27%
Nov-03-2024 to Nov-09-2024,CO,Empire Reservoir,28.87,40.2678,-104.163,224443,2024-11-03,2024-11-09,Empire Reservoir </br> 28.87%
Nov-03-2024 to Nov-09-2024,CO,Milton Reservoir,8.67,40.2264,-104.642,224573,2024-11-03,2024-11-09,Milton Reservoir </br> 8.67%
Nov-03-2024 to Nov-09-2024,CO,Standley Lake,1.14,39.86374,-105.124,228235,2024-11-03,2024-11-09,Standley Lake </br> 1.14%
Nov-03-2024 to Nov-09-2024,CO,Barr Lake,4.94,39.94319,-104.764,228919,2024-11-03,2024-11-09,Barr Lake </br> 4.94%
Nov-03-2024 to Nov-09-2024,CO,Cherry Creek Lake,1.74,39.64032,-104.855,229217,2024-11-03,2024-11-09,Cherry Creek Lake </br> 1.74%
Nov-03-2024 to Nov-09-2024,OK,Lake Hefner,1.53,35.56682,-97.5951,253350,2024-11-03,2024-11-09,Lake Hefner </br> 1.53%
Nov-03-2024 to Nov-09-2024,MI,Round Lake,0.24,46.15092,-86.7447,271501,2024-11-03,2024-11-09,Round Lake </br> 0.24%
Nov-03-2024 to Nov-09-2024,OK,Shell Lake,18.08,36.19126,-96.1797,368347,2024-11-03,2024-11-09,Shell Lake </br> 18.08%
Nov-03-2024 to Nov-09-2024,OK,Webbers Falls Reservoir,0.32,35.60737,-95.221,381408,2024-11-03,2024-11-09,Webbers Falls Reservoir </br> 0.32%
Nov-03-2024 to Nov-09-2024,OK,Canton Lake,31.32,36.12569,-98.6147,389774,2024-11-03,2024-11-09,Canton Lake </br> 31.32%
Nov-03-2024 to Nov-09-2024,OK,Tenkiller Lake,0.2,35.7169,-94.9482,399680,2024-11-03,2024-11-09,Tenkiller Lake </br> 0.2%
Nov-03-2024 to Nov-09-2024,OK,Tenkiller Ferry Lake,0.23,35.63059,-95.0342,402142,2024-11-03,2024-11-09,Tenkiller Ferry Lake </br> 0.23%
Nov-03-2024 to Nov-09-2024,OK,Lake Murray,0.62,34.07157,-97.0757,423160,2024-11-03,2024-11-09,Lake Murray </br> 0.62%
Nov-03-2024 to Nov-09-2024,OK,Stanley Draper Lake,0.72,35.35016,-97.356,481582,2024-11-03,2024-11-09,Stanley Draper Lake </br> 0.72%
Nov-03-2024 to Nov-09-2024,OK,Lake Thunderbird,19.12,35.23374,-97.2577,481656,2024-11-03,2024-11-09,Lake Thunderbird </br> 19.12%
Nov-03-2024 to Nov-09-2024,OK,Lake McMurtry,2.17,36.18245,-97.1858,491560,2024-11-03,2024-11-09,Lake McMurtry </br> 2.17%
Nov-03-2024 to Nov-09-2024,OK,Lake Carl Blackwell,14.09,36.13618,-97.228,491604,2024-11-03,2024-11-09,Lake Carl Blackwell </br> 14.09%
Nov-03-2024 to Nov-09-2024,OK,Lake McAlester,0.73,35.03047,-95.8296,510415,2024-11-03,2024-11-09,Lake McAlester </br> 0.73%
Nov-03-2024 to Nov-09-2024,OK,S Lake Eufaula,2.1,34.95741,-95.6102,513979,2024-11-03,2024-11-09,S Lake Eufaula </br> 2.1%
Nov-03-2024 to Nov-09-2024,OK,Dripping Springs Lake,0.34,35.56111,-96.1173,534887,2024-11-03,2024-11-09,Dripping Springs Lake </br> 0.34%
Nov-03-2024 to Nov-09-2024,OK,South Lake,0.28,34.0705,-95.4183,592596,2024-11-03,2024-11-09,South Lake </br> 0.28%
Nov-03-2024 to Nov-09-2024,OK,Pine Creek Reservoir,10.38,34.15248,-95.103,617546,2024-11-03,2024-11-09,Pine Creek Reservoir </br> 10.38%
Nov-03-2024 to Nov-09-2024,OK,Broken Bow Lake,0.34,34.21277,-94.6843,630011,2024-11-03,2024-11-09,Broken Bow Lake </br> 0.34%
Nov-03-2024 to Nov-09-2024,OK,Lake Ellsworth,12.21,34.82354,-98.3534,672210,2024-11-03,2024-11-09,Lake Ellsworth </br> 12.21%
Nov-03-2024 to Nov-09-2024,OK,Lake Lawtonka,16.42,34.75722,-98.5078,672260,2024-11-03,2024-11-09,Lake Lawtonka </br> 16.42%
Nov-03-2024 to Nov-09-2024,OK,Fort Cobb Reservoir,20.91,35.19674,-98.483,681831,2024-11-03,2024-11-09,Fort Cobb Reservoir </br> 20.91%
Nov-03-2024 to Nov-09-2024,ME,Long Lake,1.35,46.625,-69.3767,717696,2024-11-03,2024-11-09,Long Lake </br> 1.35%
Nov-03-2024 to Nov-09-2024,ME,Clear Lake,0.95,46.52027,-69.1287,717824,2024-11-03,2024-11-09,Clear Lake </br> 0.95%
Nov-03-2024 to Nov-09-2024,ME,Heron-Churchill Lakes,0.25,46.37289,-69.3412,719480,2024-11-03,2024-11-09,Heron-Churchill Lakes </br> 0.25%
Nov-03-2024 to Nov-09-2024,ME,Pleasant Lake,0.49,46.47316,-69.1799,719490,2024-11-03,2024-11-09,Pleasant Lake </br> 0.49%
Nov-03-2024 to Nov-09-2024,ME,Spider Lake,0.41,46.44826,-69.2087,719500,2024-11-03,2024-11-09,Spider Lake </br> 0.41%
Nov-03-2024 to Nov-09-2024,ME,Haymock Lake,0.19,46.30324,-69.1849,719644,2024-11-03,2024-11-09,Haymock Lake </br> 0.19%
Nov-03-2024 to Nov-09-2024,ME,Indian Pond,0.1,46.25543,-69.2934,719684,2024-11-03,2024-11-09,Indian Pond </br> 0.1%
Nov-03-2024 to Nov-09-2024,ME,Long Lake,0.21,47.20638,-68.241,723898,2024-11-03,2024-11-09,Long Lake </br> 0.21%
Nov-03-2024 to Nov-09-2024,ME,Mud Lake,0.13,47.15382,-68.292,723936,2024-11-03,2024-11-09,Mud Lake </br> 0.13%
Nov-03-2024 to Nov-09-2024,ME,Square Lake,0.23,47.06451,-68.4067,723938,2024-11-03,2024-11-09,Square Lake </br> 0.23%
Nov-03-2024 to Nov-09-2024,ME,Fish River Lake,1.06,46.82865,-68.7736,725058,2024-11-03,2024-11-09,Fish River Lake </br> 1.06%
Nov-03-2024 to Nov-09-2024,ME,Portage Lake,0.7,46.78602,-68.5091,725074,2024-11-03,2024-11-09,Portage Lake </br> 0.7%
Nov-03-2024 to Nov-09-2024,KS,Perry Lake,1.21,39.18347,-95.4522,746373,2024-11-03,2024-11-09,Perry Lake </br> 1.21%
Nov-03-2024 to Nov-09-2024,ME,Madawaska Lake,1.43,47.02536,-68.2131,802433,2024-11-03,2024-11-09,Madawaska Lake </br> 1.43%
Nov-03-2024 to Nov-09-2024,ME,Squapan Lake,0.75,46.54401,-68.2436,803413,2024-11-03,2024-11-09,Squapan Lake </br> 0.75%
Nov-03-2024 to Nov-09-2024,ME,Millinocket Lake,0.21,46.29874,-68.8853,806283,2024-11-03,2024-11-09,Millinocket Lake </br> 0.21%
Nov-03-2024 to Nov-09-2024,ME,Umcolcus Lake,0.39,46.28783,-68.4356,806301,2024-11-03,2024-11-09,Umcolcus Lake </br> 0.39%
