date_range,state,lake,chance_cyanoHAB,lat,lon,COMID,date_start,date_end,label
Oct-20-2024 to Oct-26-2024,ME,Pleasant Lake,0.33,46.02266,-68.1624,759,2024-10-20,2024-10-26,Pleasant Lake </br> 0.33%
Oct-20-2024 to Oct-26-2024,ME,Jackson Brook Lake,1.61,45.53332,-67.7441,1637,2024-10-20,2024-10-26,Jackson Brook Lake </br> 1.61%
Oct-20-2024 to Oct-26-2024,ME,Wytopitlock Lake,0.62,45.79854,-68.1596,2311,2024-10-20,2024-10-26,Wytopitlock Lake </br> 0.62%
Oct-20-2024 to Oct-26-2024,CO,Boyd Lake,1.22,40.43393,-105.033,11646,2024-10-20,2024-10-26,Boyd Lake </br> 1.22%
Oct-20-2024 to Oct-26-2024,CO,Lake Loveland,1.1,40.412350000000004,-105.087,11682,2024-10-20,2024-10-26,Lake Loveland </br> 1.1%
Oct-20-2024 to Oct-26-2024,CO,Carter Lake Reservoir,0.68,40.33504,-105.218,11816,2024-10-20,2024-10-26,Carter Lake Reservoir </br> 0.68%
Oct-20-2024 to Oct-26-2024,FL,Rodgers River Bay,0.81,25.56711,-81.0981,84918,2024-10-20,2024-10-26,Rodgers River Bay </br> 0.81%
Oct-20-2024 to Oct-26-2024,FL,West Lake,81.68,25.20776,-80.824700000000007,86672,2024-10-20,2024-10-26,West Lake </br> 81.68%
Oct-20-2024 to Oct-26-2024,FL,Cuthbert Lake,96.9,25.20805,-80.7758,86678,2024-10-20,2024-10-26,Cuthbert Lake </br> 96.9%
Oct-20-2024 to Oct-26-2024,FL,Seven Palm Lake,68.47,25.1935,-80.7295,86706,2024-10-20,2024-10-26,Seven Palm Lake </br> 68.47%
Oct-20-2024 to Oct-26-2024,FL,Monroe Lake,53.53,25.17788,-80.7405,86758,2024-10-20,2024-10-26,Monroe Lake </br> 53.53%
Oct-20-2024 to Oct-26-2024,FL,Bear Lake,68.41,25.16884,-80.9597,86782,2024-10-20,2024-10-26,Bear Lake </br> 68.41%
Oct-20-2024 to Oct-26-2024,FL,Coot Bay Pond,10.48,25.19438,-80.9166,89704,2024-10-20,2024-10-26,Coot Bay Pond </br> 10.48%
Oct-20-2024 to Oct-26-2024,FL,Lake Ingraham,12.55,25.15963,-81.1121,91346,2024-10-20,2024-10-26,Lake Ingraham </br> 12.55%
Oct-20-2024 to Oct-26-2024,CO,Marston Lake,0.71,39.62961,-105.068,187905,2024-10-20,2024-10-26,Marston Lake </br> 0.71%
Oct-20-2024 to Oct-26-2024,CO,Chatfield Lake,0.78,39.54464,-105.067,188031,2024-10-20,2024-10-26,Chatfield Lake </br> 0.78%
Oct-20-2024 to Oct-26-2024,TX,Sal del Ray,0.57,26.5372,-98.0564,201345,2024-10-20,2024-10-26,Sal del Ray </br> 0.57%
Oct-20-2024 to Oct-26-2024,TX,La Sal Vieja,0.66,26.53074,-97.8765,202621,2024-10-20,2024-10-26,La Sal Vieja </br> 0.66%
Oct-20-2024 to Oct-26-2024,TX,Unit Number Two,99.85,26.4129,-97.9464,204341,2024-10-20,2024-10-26,Unit Number Two </br> 99.85%
Oct-20-2024 to Oct-26-2024,TX,Laguna Atascosa,7.42,26.23655,-97.3888,204781,2024-10-20,2024-10-26,Laguna Atascosa </br> 7.42%
Oct-20-2024 to Oct-26-2024,TX,Reservoir Number One,98.66,26.0565,-97.7273,205377,2024-10-20,2024-10-26,Reservoir Number One </br> 98.66%
Oct-20-2024 to Oct-26-2024,TX,Resaca de La Palma Reservoir,99.92,25.97196,-97.5511,207611,2024-10-20,2024-10-26,Resaca de La Palma Reservoir </br> 99.92%
