date_range,state,lake,chance_cyanoHAB,lat,lon,COMID,date_start,date_end,label
Sep-08-2024 to Sep-14-2024,ME,Pleasant Lake,1.09,46.02266,-68.1624,759,2024-09-08,2024-09-14,Pleasant Lake </br> 1.09%
Sep-08-2024 to Sep-14-2024,ME,Jackson Brook Lake,4.83,45.53332,-67.7441,1637,2024-09-08,2024-09-14,Jackson Brook Lake </br> 4.83%
Sep-08-2024 to Sep-14-2024,ME,Wytopitlock Lake,1.97,45.79854,-68.1596,2311,2024-09-08,2024-09-14,Wytopitlock Lake </br> 1.97%
Sep-08-2024 to Sep-14-2024,CO,Boyd Lake,3.89,40.43393,-105.033,11646,2024-09-08,2024-09-14,Boyd Lake </br> 3.89%
Sep-08-2024 to Sep-14-2024,CO,Lake Loveland,3.43,40.412350000000004,-105.087,11682,2024-09-08,2024-09-14,Lake Loveland </br> 3.43%
Sep-08-2024 to Sep-14-2024,CO,Carter Lake Reservoir,1.78,40.33504,-105.218,11816,2024-09-08,2024-09-14,Carter Lake Reservoir </br> 1.78%
Sep-08-2024 to Sep-14-2024,FL,Rodgers River Bay,1.51,25.56711,-81.0981,84918,2024-09-08,2024-09-14,Rodgers River Bay </br> 1.51%
Sep-08-2024 to Sep-14-2024,FL,West Lake,93.78,25.20776,-80.824700000000007,86672,2024-09-08,2024-09-14,West Lake </br> 93.78%
Sep-08-2024 to Sep-14-2024,FL,Cuthbert Lake,99.09,25.20805,-80.7758,86678,2024-09-08,2024-09-14,Cuthbert Lake </br> 99.09%
Sep-08-2024 to Sep-14-2024,FL,Seven Palm Lake,88.57,25.1935,-80.7295,86706,2024-09-08,2024-09-14,Seven Palm Lake </br> 88.57%
Sep-08-2024 to Sep-14-2024,FL,Monroe Lake,80.93,25.17788,-80.7405,86758,2024-09-08,2024-09-14,Monroe Lake </br> 80.93%
Sep-08-2024 to Sep-14-2024,FL,Bear Lake,88.14,25.16884,-80.9597,86782,2024-09-08,2024-09-14,Bear Lake </br> 88.14%
Sep-08-2024 to Sep-14-2024,FL,Coot Bay Pond,27.97,25.19438,-80.9166,89704,2024-09-08,2024-09-14,Coot Bay Pond </br> 27.97%
Sep-08-2024 to Sep-14-2024,FL,Lake Ingraham,30.4,25.15963,-81.1121,91346,2024-09-08,2024-09-14,Lake Ingraham </br> 30.4%
Sep-08-2024 to Sep-14-2024,CO,Marston Lake,1.74,39.62961,-105.068,187905,2024-09-08,2024-09-14,Marston Lake </br> 1.74%
